English,Japanese
Earth,地球
ground,地面
continent,大陸
valley,谷
cliff,崖
desert,砂漠
island,島
ocean,海洋
wave,波
tide,潮
shore,岸
coast,海岸
bay,湾
canal,運河
waterfall,滝
fountain,噴水、泉
planet,惑星
universe,宇宙
satellite,衛星
telescope,望遠鏡
gravity,重力
orbit,軌道
comet,彗星
eclipse,食（日食・月食）
weather,天気
climate,気候
temperature,温度
humidity,湿度
storm,嵐
thunder,雷
lightning,稲妻
fog,霧
disappear,見えなくなる
exist,存在する
survive,生き残る
occur,起こる
happen,起こる
remain,残る
increase,増える
decrease,減る
expand,拡大する
contract,収縮する
improve,改善する
develop,発達させる
advance,進歩する
progress,進歩する
change,変わる
vary,変化する
ancient,古代の
modern,現代の
current,現在の
recent,最近の
previous,前の
future,未来の
annual,毎年の
constant,絶え間ない
temporary,一時的な
permanent,永続的な
sudden,突然の
gradual,徐々の
rapid,急速な
slow,遅い
immediate,即座の
brief,短時間の
bright,明るい
dark,暗い
dim,薄暗い
clear,澄んだ
cloudy,曇った
sunny,晴れた
windy,風の強い
calm,穏やかな
hot,暑い
cold,寒い
warm,暖かい
cool,涼しい
dry,乾いた
wet,湿った
mild,穏やかな
extreme,極端な
housing,住宅
architecture,建築
structure,構造
facility,施設、設備
suburb,郊外
district,地区
area,地域、面積
region,地方、地域
traffic,交通
transportation,輸送、交通機関
vehicle,乗り物、車両
engine,エンジン
fuel,燃料
passenger,乗客
route,道筋、路線
destination,目的地
communication,通信、伝達
information,情報
media,メディア
magazine,雑誌
article,記事
advertise,広告する
broadcast,放送する
internet,インターネット
science,科学
technology,科学技術
invention,発明
device,装置
machine,機械
electricity,電気
energy,エネルギー
power,力、電力
experiment,実験
research,研究、調査
discovery,発見
method,方法
theory,理論
data,データ
measure,測る
average,平均
mathematics,数学
number,数
figure,数字、図形
shape,形
circle,円
square,正方形、広場
triangle,三角形
angle,角、角度
matter,物質、事柄
substance,物質
material,材料、素材
liquid,液体
gas,気体、ガス
solid,固体
surface,表面
bottom,底
amount,量
quantity,分量、数量
quality,質
degree,程度、度
level,水準、レベル
scale,規模、尺度
range,範囲
standard,標準、基準
appear,現れる
happen,起こる
continue,続く
rise,上がる
fall,落ちる、下がる
flow,流れる
burn,燃える
melt,溶ける
create,創造する
produce,生産する
develop,発達させる
improve,改善する
destroy,破壊する
reduce,減らす
remove,取り除く
replace,取って代わる
notice,〜に気がつく
realize,〜を悟る、〜に気がつく
recognize,〜を認める、〜を識別する
observe,〜を観察する
wonder,〜かなと思う
imagine,〜を想像する
suppose,〜だと思う、〜と仮定する
believe,〜を信じる
decide,〜を決心する
judge,〜を判断する
consider,〜を熟考する、〜を検討する
compare,〜を比較する
evaluate,〜を評価する
analyze,〜を分析する
describe,〜を描写する、〜を説明する
explain,〜を説明する
express,〜を表現する
indicate,〜を指し示す
suggest,〜を提案する、〜を暗示する
propose,〜を提案する
mention,〜に言及する
discuss,〜を議論する
persuade,〜を説得する
convince,〜を納得させる
correct,正しい
accurate,正確な
precise,精密な、正確な
perfect,完全な
ideal,理想的な
suitable,ふさわしい
appropriate,適切な
effective,効果的な
false,誤った、偽の
wrong,悪い、間違った
incorrect,不正確な
impossible,不可能な
useless,役に立たない
harmful,有害な
dangerous,危険な
terrible,恐ろしい、ひどい
